country,perc_change,perc_change_lwr,perc_change_upr
Australia,1.42,-0.12,2.99
Brazil,,,
Canada,1.7,1.17,2.23
Chile,0.27,-0.68,1.23
China,0.41,0.32,0.5
Colombia,,,
Czechia,,,
Estonia,0.23,-4.24,4.9
Finland,0.14,-0.55,0.83
France,,,
Greece,2.54,1.28,3.83
Italy,,,
Japan,1.42,1.05,1.81
Mexico,1.29,0.21,2.39
Portugal,0.03,-1.14,1.21
South Africa,0.8,0.16,1.44
South Korea,,,
Spain,1.96,1.18,2.75
Sweden,0.08,-1.44,1.62
Switzerland,0.79,-0.96,2.58
Taiwan,0.62,-0.39,1.64
Thailand,,,
United Kingdom,,,
United States,1.58,1.28,1.88
