country,r2_o3,r2_no2,r2_pm25,fstat_o3,fstat_no2,fstat_pm25,pval_o3,pval_no2,pval_pm25
Andorra,0.6854185096777942,NA,NA,87.27410873756354,NA,NA,3.2933247041127477e-167,NA,NA
Australia,0.4138636230124682,0.2670028891572076,0.1784989435009004,38.95249882549688,20.014165394098985,9.05802207839515,5.6146235908716516e-102,5.0584323869851565e-55,2.0988431563948193e-20
Austria,0.5061426037225548,0.4667550176597747,NA,4.782754769243084,3.258100791576602,NA,3.0422442909557935e-6,2.2779263430959074e-4,NA
Belgium,0.5541428924943236,0.45369383860199064,0.2609480779753898,18.643065788312075,23.89923707436084,9.572524102015796,1.2036748727677812e-33,1.0640458343451036e-56,7.720478011814726e-23
Canada,0.5724685945059556,0.2891692691958061,0.13542125521457457,69.5541022749919,19.25542160102785,8.336337415316777,2.143399893435638e-158,1.0670417294678685e-51,5.0187250086649575e-21
Chile,0.21567440646143,0.4761666110601058,0.7395484932068466,16.430097260923738,48.27820891408722,180.96992877506895,1.0191958282595326e-40,1.1664424081679767e-120,1.0814229595493917e-266
China,0.5104169218182405,0.6192432104861358,0.5415031307432638,50.73764045809673,65.68640642089639,57.47727875559898,2.028521560388859e-102,6.720448078843213e-139,1.1866896880454601e-112
Croatia,0.647405431788761,0.4439115062344564,NA,79.66714430245244,37.91805941416729,NA,7.457453868704476e-163,5.199232668907591e-96,NA
Denmark,0.4695323890843816,0.5514359677250708,NA,31.618783123162693,45.6220294015133,NA,2.3098599764709222e-76,1.9085042507546939e-103,NA
Finland,0.5756429260505133,0.41255356062990695,0.25617502883346116,80.39559020364405,35.582331150045796,20.710058142253157,8.610670181002275e-154,1.9256480222075936e-92,1.6239118516275718e-48
France,0.7631387261141009,0.5601415309496862,0.34053910952582483,170.75966797143545,63.74367550990312,30.88013109466087,1.3104149566831357e-267,9.193284767804645e-147,7.335939066141216e-71
Germany,0.5530187880403602,0.39326011016214146,0.31308388226257816,60.76176452005882,31.43540693848371,26.769585897606202,9.314401616382e-141,3.9845125209610067e-82,6.752799413708893e-62
Hungary,0.6929600410401056,0.4783781597658936,NA,115.89871346297754,44.98873433372358,NA,4.5019708434528633e-210,1.772062763398951e-111,NA
India,0.35046698926086955,0.4745763608460268,0.6182033841905562,23.99277408764728,33.36918762572975,61.25956525908399,5.224727410365253e-53,1.2793250521678386e-80,4.4273644380123393e-129
Indonesia,NA,NA,0.15703985546401109,NA,NA,8.56960248734049,NA,NA,1.8488931760520552e-21
Ireland,0.7420127191456485,0.4617588312277932,0.3402553333160277,74.20493014446542,35.555322293919765,7.564155964131836,8.961139360732765e-104,9.78117575580472e-88,1.7002065264168715e-13
Italy,0.8153936168300968,0.7384855034317741,NA,199.25265538765024,121.269949051867,NA,4.897458062311135e-283,8.78755058259175e-211,NA
Luxembourg,0.7082106413862647,0.5804024429261869,0.3283404927109159,125.07808792672738,62.55300539729179,25.909029686657373,7.07898449683438e-195,8.287398204891272e-140,6.495248380535515e-59
Mexico,0.4087801970693041,0.5102263173583104,0.25358646055035583,34.45567912245362,30.037394832000388,17.307860413272227,1.4991349584925689e-89,9.909346444186605e-69,5.443595843947626e-47
Nepal,0.6900226856437307,NA,0.5990033274996164,80.26120017359264,NA,53.94228231468239,1.5284116246214404e-151,NA,6.089771540180804e-116
Netherlands,0.26563239793976484,0.4419485593382484,0.31580688387181527,13.122247054475322,36.12169663332244,20.95040599578108,1.5780121704774346e-33,3.3290284958933265e-91,1.015250819778787e-55
Norway,NA,0.6615120161410777,0.37627932367629313,NA,105.09869743615978,39.05244095729987,NA,5.919332794704619e-213,8.472665973696875e-89
Peru,0.39496208449632925,0.5397672756770185,0.15544683327718742,16.537320859047835,24.563932812419377,3.51755439406897,3.4210526149173466e-33,1.0554721578685695e-52,2.515448876745154e-6
Poland,0.7517121974831791,0.5287215511811527,0.5349130181927991,94.6624621496731,29.16908329918993,35.9609012716423,3.1177432059406073e-131,5.758695531390624e-65,2.8814458696511374e-68
Portugal,0.47963106331948724,0.6704544846018491,0.2828375307603268,47.13028259177962,86.69154700465522,19.982131673802602,4.887652096085802e-98,6.93495588377816e-171,1.2968171120697398e-45
Serbia,0.768645343807303,0.6001396038994253,NA,68.10854731588108,27.26585639344981,NA,6.63443134628569e-94,2.233126703316903e-54,NA
Slovakia,0.78181807768438,0.5443210620651069,0.3891983841131927,179.83843187990723,53.35556554159175,28.673675428421465,2.2031982053552435e-252,8.748066556007015e-124,2.0748308890599998e-74
Spain,0.6582953254625004,0.514796664808464,0.44330302115087816,55.86860778024697,32.12446800609652,19.95197368836766,4.207718949492683e-109,1.1313857511447046e-73,1.3133288455352269e-46
Sweden,NA,0.37260757044564036,0.1996682043604651,NA,14.286564021249589,4.00556864697068,NA,8.207734658096258e-34,2.034865175791525e-7
Switzerland,0.7662137436912716,0.5945148040193414,0.28953151387438686,145.23029306086647,57.50688801659671,18.338488446402184,4.1527693588697186e-211,4.323410880051256e-125,4.0831519578124324e-41
Thailand,0.5331681297282779,0.5980539300464156,NA,72.71362508507067,78.8584854085532,NA,2.613349149091596e-146,1.828408310695989e-174,NA
United Arab Emirates,0.7517764795106983,NA,0.5684287963512551,19.181304928379234,NA,8.057643153084753,1.7295386294531014e-26,NA,1.6129167588723135e-12
United Kingdom,0.6434622275301308,0.6890134878875491,0.24288517422269099,117.66982483885354,120.0102334783799,20.745300534312626,9.29250587190536e-207,2.2423880169103514e-232,4.205664480725814e-49
United States,0.6892240451934936,0.6132419248525782,0.16847204239383595,55.56701246504791,79.63213751694768,10.79436470454594,3.5388456218721256e-102,3.151216633446008e-172,2.0099647512834177e-28
